order_date,customer_name,product_name,category,quantity,unit_price,total_price
2025-01-01,Mona,Keyboard,Accessories,4,245,980
2025-01-02,Ahmed,Keyboard,Accessories,3,408,1224
2025-01-03,Ahmed,Monitor,Electronics,1,477,477
2025-01-04,Ali,Keyboard,Electronics,1,127,127
2025-01-05,Ahmed,Mouse,Electronics,3,346,1038
2025-01-06,Omar,Laptop,Accessories,4,250,1000
2025-01-07,Sara,Monitor,Electronics,3,167,501
2025-01-08,Sara,Keyboard,Electronics,4,447,1788
2025-01-09,Omar,Headphones,Accessories,4,110,440
2025-01-10,Omar,Laptop,Accessories,3,29,87
2025-01-11,Ali,Keyboard,Accessories,1,107,107
2025-01-12,Sara,Headphones,Accessories,2,24,48
2025-01-13,Sara,Mouse,Electronics,4,456,1824
2025-01-14,Sara,Keyboard,Electronics,3,78,234
2025-01-15,Mona,Mouse,Accessories,2,43,86
2025-01-16,Ali,Monitor,Electronics,4,165,660
2025-01-17,Sara,Laptop,Electronics,4,263,1052
2025-01-18,Ali,Laptop,Accessories,1,61,61
2025-01-19,Sara,Headphones,Electronics,3,53,159
2025-01-20,Ali,Headphones,Accessories,2,221,442
2025-01-21,Ali,Monitor,Accessories,2,280,560
2025-01-22,Omar,Laptop,Accessories,1,46,46
2025-01-23,Ahmed,Headphones,Accessories,2,118,236
2025-01-24,Omar,Headphones,Accessories,1,362,362
2025-01-25,Mona,Headphones,Accessories,4,153,612
2025-01-26,Ahmed,Mouse,Accessories,3,397,1191
2025-01-27,Ahmed,Mouse,Accessories,4,103,412
2025-01-28,Sara,Monitor,Accessories,4,420,1680
2025-01-29,Ahmed,Keyboard,Accessories,3,499,1497
2025-01-30,Sara,Mouse,Electronics,1,385,385
2025-01-31,Ahmed,Mouse,Accessories,2,122,244
2025-02-01,Omar,Monitor,Accessories,2,252,504
2025-02-02,Sara,Laptop,Electronics,2,150,300
2025-02-03,Mona,Mouse,Accessories,2,25,50
2025-02-04,Ali,Headphones,Electronics,3,358,1074
2025-02-05,Omar,Headphones,Electronics,4,62,248
2025-02-06,Ahmed,Headphones,Accessories,1,81,81
2025-02-07,Ali,Keyboard,Electronics,4,287,1148
2025-02-08,Mona,Monitor,Electronics,3,356,1068
2025-02-09,Ali,Headphones,Electronics,3,249,747
2025-02-10,Omar,Headphones,Accessories,3,380,1140
2025-02-11,Ahmed,Headphones,Accessories,2,496,992
2025-02-12,Mona,Mouse,Accessories,3,163,489
2025-02-13,Mona,Monitor,Electronics,1,154,154
2025-02-14,Ali,Monitor,Accessories,1,43,43
2025-02-15,Omar,Headphones,Accessories,4,491,1964
2025-02-16,Omar,Headphones,Accessories,3,451,1353
2025-02-17,Omar,Keyboard,Accessories,3,434,1302
2025-02-18,Omar,Mouse,Electronics,4,235,940
2025-02-19,Omar,Headphones,Accessories,4,360,1440
